,brightness,confidence,daynight,hour,date,Datetime,Fire,latitude,longitude
0,322,68,D,21:00:00,24/02/2016,24/02/2016 21:00,1,30.8342,-110.8534
1,313.8,32,D,18:00:00,30/03/2016,30/03/2016 18:00,1,31.2519,-110.9623
2,325.5,67,D,17:00:00,03/04/2016,03/04/2016 17:00,1,31.0972,-110.8965
3,339.3,86,D,17:00:00,03/04/2016,03/04/2016 17:00,1,31.0988,-110.911
4,301.6,43,N,09:00:00,04/04/2016,04/04/2016 09:00,1,30.7656,-110.8255
5,300.4,27,N,09:00:00,04/04/2016,04/04/2016 09:00,1,30.7745,-110.8238
6,323.4,39,D,17:00:00,21/04/2016,21/04/2016 17:00,1,30.9077,-110.693
7,324.3,50,D,17:00:00,21/04/2016,21/04/2016 17:00,1,30.9098,-110.715
8,337.7,77,D,20:00:00,11/05/2016,11/05/2016 20:00,1,31.3099,-111.0984
9,333.2,52,D,20:00:00,07/06/2016,07/06/2016 20:00,1,30.8771,-110.679
10,335.4,67,D,20:00:00,07/06/2016,07/06/2016 20:00,1,30.8931,-110.7062
11,334.4,18,D,20:00:00,07/06/2016,07/06/2016 20:00,1,30.8965,-110.7021
12,326.5,24,D,18:00:00,11/06/2016,11/06/2016 18:00,1,31.2518,-110.9614
13,336.5,76,D,18:00:00,16/06/2016,16/06/2016 18:00,1,31.2353,-110.9477
14,331.9,60,D,20:00:00,23/07/2016,23/07/2016 20:00,1,31.253,-110.9672
15,328.5,43,D,18:00:00,29/07/2016,29/07/2016 18:00,1,31.257,-110.9636
16,325.4,50,D,18:00:00,05/08/2016,05/08/2016 18:00,1,31.2484,-110.9628
17,328,70,D,18:00:00,05/08/2016,05/08/2016 18:00,1,31.2577,-110.9608
18,328.6,33,D,20:00:00,08/08/2016,08/08/2016 20:00,1,31.2542,-110.97
19,323.3,42,D,18:00:00,14/08/2016,14/08/2016 18:00,1,31.2562,-110.962
20,322.5,34,D,18:00:00,28/08/2016,28/08/2016 18:00,1,31.2556,-110.9629
21,318,29,D,18:00:00,22/09/2016,22/09/2016 18:00,1,31.2585,-110.9652
22,302.5,44,D,17:00:00,29/11/2016,29/11/2016 17:00,1,31.0443,-110.6363
23,313.2,54,D,17:00:00,10/02/2017,10/02/2017 17:00,1,31.1305,-110.6568
24,301.9,9,D,18:00:00,20/02/2017,20/02/2017 18:00,1,31.258,-110.9674
25,309.6,13,D,18:00:00,22/02/2017,22/02/2017 18:00,1,31.2564,-110.9625
26,335.6,81,D,20:00:00,25/03/2017,25/03/2017 20:00,1,31.2079,-110.9227
27,327,67,D,20:00:00,25/03/2017,25/03/2017 20:00,1,31.2065,-110.9336
28,327.1,60,D,18:00:00,18/04/2017,18/04/2017 18:00,1,31.1593,-110.9881
29,325.1,17,D,18:00:00,18/04/2017,18/04/2017 18:00,1,31.2571,-110.9612
30,329.6,58,D,21:00:00,01/05/2017,01/05/2017 21:00,1,31.2872,-110.9539
31,329.5,19,D,18:00:00,04/05/2017,04/05/2017 18:00,1,31.253,-110.9584
32,330.5,39,D,18:00:00,04/05/2017,04/05/2017 18:00,1,31.2548,-110.9695
33,320.3,13,D,18:00:00,11/05/2017,11/05/2017 18:00,1,31.254,-110.967
34,351.1,93,D,20:00:00,13/06/2017,13/06/2017 20:00,1,31.1237,-110.6556
35,334.1,40,D,18:00:00,14/06/2017,14/06/2017 18:00,1,31.2739,-110.9412
36,326.2,100,N,05:00:00,20/06/2017,20/06/2017 05:00,1,31.1583,-111.043
37,342.5,100,N,05:00:00,20/06/2017,20/06/2017 05:00,1,31.1597,-111.0326
38,303.8,31,N,09:00:00,20/06/2017,20/06/2017 09:00,1,31.1594,-111.0136
39,308.7,75,N,09:00:00,20/06/2017,20/06/2017 09:00,1,31.16,-111.0357
40,308.2,74,N,09:00:00,20/06/2017,20/06/2017 09:00,1,31.1647,-111.0392
41,306.5,68,N,08:00:00,21/06/2017,21/06/2017 08:00,1,31.1642,-111.027
42,305.9,66,N,08:00:00,21/06/2017,21/06/2017 08:00,1,31.1644,-111.039
43,334.2,67,D,20:00:00,22/06/2017,22/06/2017 20:00,1,31.1559,-111.0352
44,322.4,38,D,18:00:00,14/07/2017,14/07/2017 18:00,1,31.2545,-110.9635
45,323.8,11,D,18:00:00,08/08/2017,08/08/2017 18:00,1,31.2584,-110.9553
46,322.9,14,D,18:00:00,08/08/2017,08/08/2017 18:00,1,31.2492,-110.9573
47,327,28,D,20:00:00,11/08/2017,11/08/2017 20:00,1,31.2539,-110.966
48,324.8,21,D,18:00:00,17/08/2017,17/08/2017 18:00,1,31.2567,-110.9632
49,334.2,83,D,18:00:00,20/10/2017,20/10/2017 18:00,1,31.308,-110.9062
50,312.7,85,N,09:00:00,25/10/2017,25/10/2017 09:00,1,30.7735,-110.8177
51,314.3,89,N,09:00:00,25/10/2017,25/10/2017 09:00,1,30.7697,-110.8251
52,302.4,49,N,09:00:00,25/10/2017,25/10/2017 09:00,1,30.7681,-110.8136
53,301.3,35,N,09:00:00,25/10/2017,25/10/2017 09:00,1,30.775,-110.8293
54,318.3,63,D,20:00:00,22/11/2017,22/11/2017 20:00,1,31.2393,-110.9705
55,312,55,D,21:00:00,12/01/2018,12/01/2018 21:00,1,30.9786,-110.8816
56,332.9,47,D,18:00:00,01/06/2018,01/06/2018 18:00,1,31.2738,-110.9358
57,304.5,60,N,09:00:00,04/06/2018,04/06/2018 09:00,1,31.1671,-111.0359
58,363.7,100,D,20:00:00,04/06/2018,04/06/2018 20:00,1,30.7398,-110.7614
59,341.3,82,D,20:00:00,04/06/2018,04/06/2018 20:00,1,30.7479,-110.7552
60,351.2,93,D,20:00:00,04/06/2018,04/06/2018 20:00,1,30.7452,-110.77
61,310.3,80,N,05:00:00,05/06/2018,05/06/2018 05:00,1,30.7472,-110.7697
62,314.4,89,N,05:00:00,05/06/2018,05/06/2018 05:00,1,30.7487,-110.7571
63,313.9,88,N,05:00:00,05/06/2018,05/06/2018 05:00,1,30.7387,-110.7556
64,337.5,81,D,17:00:00,05/06/2018,05/06/2018 17:00,1,30.7425,-110.7603
65,330.5,69,D,17:00:00,05/06/2018,05/06/2018 17:00,1,30.7408,-110.745
66,303.3,46,N,09:00:00,06/06/2018,06/06/2018 09:00,1,30.7423,-110.736
67,306.7,69,N,09:00:00,06/06/2018,06/06/2018 09:00,1,30.7438,-110.7469
68,327.9,48,D,18:00:00,06/06/2018,06/06/2018 18:00,1,30.7414,-110.7495
69,333.7,73,D,18:00:00,06/06/2018,06/06/2018 18:00,1,30.7394,-110.7436
70,330.2,54,D,18:00:00,10/06/2018,10/06/2018 18:00,1,30.9618,-110.662
71,346.4,89,D,18:00:00,10/06/2018,10/06/2018 18:00,1,30.9633,-110.6723
72,312.2,84,N,05:00:00,11/06/2018,11/06/2018 05:00,1,30.9549,-110.6896
73,307.3,56,N,05:00:00,11/06/2018,11/06/2018 05:00,1,30.9579,-110.674
74,313.2,87,N,05:00:00,11/06/2018,11/06/2018 05:00,1,30.9495,-110.6562
75,308.4,53,N,05:00:00,11/06/2018,11/06/2018 05:00,1,30.9526,-110.6403
76,301.1,38,N,09:00:00,11/06/2018,11/06/2018 09:00,1,30.9486,-110.6437
77,303.2,54,N,09:00:00,11/06/2018,11/06/2018 09:00,1,30.9506,-110.6555
78,341.1,81,D,20:00:00,11/06/2018,11/06/2018 20:00,1,30.9728,-110.67
79,351.1,93,D,20:00:00,11/06/2018,11/06/2018 20:00,1,30.9407,-110.686
80,316.1,93,N,05:00:00,12/06/2018,12/06/2018 05:00,1,30.9391,-110.6822
81,318.6,97,N,05:00:00,12/06/2018,12/06/2018 05:00,1,30.941,-110.6646
82,316,89,N,05:00:00,12/06/2018,12/06/2018 05:00,1,30.9399,-110.6884
83,317.9,96,N,05:00:00,12/06/2018,12/06/2018 05:00,1,30.9417,-110.6711
84,308.3,44,N,05:00:00,12/06/2018,12/06/2018 05:00,1,30.9374,-110.6989
85,323.1,52,D,18:00:00,17/07/2018,17/07/2018 18:00,1,31.2551,-110.9605
86,322.1,58,D,18:00:00,27/08/2018,27/08/2018 18:00,1,31.2545,-110.963
87,316.7,22,D,18:00:00,21/09/2018,21/09/2018 18:00,1,31.2543,-110.9645
88,309,18,D,20:00:00,17/10/2018,17/10/2018 20:00,1,31.2514,-110.9656
89,302.6,10,D,18:00:00,24/11/2018,24/11/2018 18:00,1,31.2547,-110.965
90,305.5,25,D,18:00:00,26/02/2019,26/02/2019 18:00,1,31.2569,-110.9627
91,322.9,77,D,18:00:00,28/02/2019,28/02/2019 18:00,1,31.0603,-110.8945
92,317.5,31,D,18:00:00,01/04/2019,01/04/2019 18:00,1,31.2571,-110.9618
93,322.2,28,D,18:00:00,08/04/2019,08/04/2019 18:00,1,31.2545,-110.9612
94,318.1,19,D,20:00:00,11/04/2019,11/04/2019 20:00,1,31.2701,-110.9378
95,317.9,14,D,20:00:00,11/04/2019,11/04/2019 20:00,1,31.2517,-110.9643
96,322.4,39,D,18:00:00,01/05/2019,01/05/2019 18:00,1,31.2557,-110.9662
97,375.7,100,N,05:00:00,07/05/2019,07/05/2019 05:00,1,31.2968,-110.9202
98,327.9,100,N,05:00:00,07/05/2019,07/05/2019 05:00,1,31.2953,-110.9328
99,326.2,48,D,20:00:00,27/05/2019,27/05/2019 20:00,1,31.1637,-111.0274
100,324.9,55,D,18:00:00,28/05/2019,28/05/2019 18:00,1,31.1699,-111.0274
101,338.7,80,D,20:00:00,29/05/2019,29/05/2019 20:00,1,31.1638,-111.0081
102,327.8,40,D,20:00:00,29/05/2019,29/05/2019 20:00,1,31.1618,-111.0202
103,324.5,37,D,18:00:00,02/06/2019,02/06/2019 18:00,1,31.2553,-110.9592
104,324.7,34,D,20:00:00,02/06/2019,02/06/2019 20:00,1,31.1522,-111.0382
105,307.6,72,N,05:00:00,03/06/2019,03/06/2019 05:00,1,31.161,-111.0425
106,308.3,74,N,05:00:00,03/06/2019,03/06/2019 05:00,1,31.1627,-111.0318
107,314.6,89,N,05:00:00,12/06/2019,12/06/2019 05:00,1,30.9912,-111.0134
108,316.5,93,N,05:00:00,12/06/2019,12/06/2019 05:00,1,30.9988,-111.0279
109,310,79,N,05:00:00,12/06/2019,12/06/2019 05:00,1,31.0009,-111.0155
110,304.4,60,N,05:00:00,12/06/2019,12/06/2019 05:00,1,30.9891,-111.0261
111,314.9,90,N,05:00:00,12/06/2019,12/06/2019 05:00,1,30.9815,-111.0117
112,302.5,49,N,09:00:00,12/06/2019,12/06/2019 09:00,1,31.0057,-111.0254
113,324.2,39,D,17:00:00,12/06/2019,12/06/2019 17:00,1,31.0072,-111.0239
114,346.4,89,D,20:00:00,12/06/2019,12/06/2019 20:00,1,31.0022,-111.0329
115,332,57,D,18:00:00,13/06/2019,13/06/2019 18:00,1,31.0147,-111.0251
116,313,86,N,05:00:00,17/06/2019,17/06/2019 05:00,1,31.2328,-111.0135
117,335.4,66,D,20:00:00,17/06/2019,17/06/2019 20:00,1,31.2446,-111.0124
118,333,75,D,18:00:00,18/06/2019,18/06/2019 18:00,1,31.1657,-110.9911
119,331.4,53,D,18:00:00,20/06/2019,20/06/2019 18:00,1,30.7397,-110.9128
120,331.2,61,D,18:00:00,08/07/2019,08/07/2019 18:00,1,31.0717,-110.8361
121,331.4,32,D,20:00:00,16/07/2019,16/07/2019 20:00,1,31.2558,-110.9647
122,336.2,72,D,20:00:00,16/07/2019,16/07/2019 20:00,1,30.992,-110.936
123,324.7,23,D,18:00:00,22/07/2019,22/07/2019 18:00,1,31.2541,-110.9617
124,324.2,15,D,20:00:00,01/08/2019,01/08/2019 20:00,1,31.2549,-110.9717
125,327.2,36,D,18:00:00,05/08/2019,05/08/2019 18:00,1,31.2544,-110.9654
126,305.7,61,D,18:00:00,05/01/2020,05/01/2020 18:00,1,31.1253,-110.9396
127,300.5,15,D,18:00:00,06/02/2020,06/02/2020 18:00,1,31.2577,-110.9647
128,316.2,56,D,20:00:00,15/03/2020,15/03/2020 20:00,1,31.245,-110.9539
129,321.4,70,D,20:00:00,15/03/2020,15/03/2020 20:00,1,31.2434,-110.9691
130,305.1,23,D,20:00:00,19/03/2020,19/03/2020 20:00,1,31.2496,-110.9712
131,317.7,26,D,20:00:00,13/04/2020,13/04/2020 20:00,1,31.2515,-110.9643
132,326.6,42,D,18:00:00,26/04/2020,26/04/2020 18:00,1,31.255,-110.9582
133,331.7,57,D,20:00:00,29/04/2020,29/04/2020 20:00,1,31.2505,-110.9667
134,328.4,23,D,18:00:00,06/06/2020,06/06/2020 18:00,1,31.2725,-110.9362
135,330.6,23,D,18:00:00,08/07/2020,08/07/2020 18:00,1,31.2745,-110.9427
136,338.1,76,D,20:00:00,16/07/2020,16/07/2020 20:00,1,30.7918,-110.6405
137,324.4,19,D,18:00:00,22/07/2020,22/07/2020 18:00,1,31.2582,-110.9624
138,325.9,28,D,18:00:00,16/08/2020,16/08/2020 18:00,1,31.2568,-110.9675
139,326.8,35,D,18:00:00,23/08/2020,23/08/2020 18:00,1,31.2535,-110.9603
140,300.9,35,N,05:00:00,23/09/2020,23/09/2020 05:00,1,30.9974,-110.7792
141,312.9,86,N,05:00:00,25/09/2020,25/09/2020 05:00,1,30.9926,-110.8003
142,303.7,56,N,05:00:00,25/09/2020,25/09/2020 05:00,1,31.0017,-110.8021
143,303,53,N,09:00:00,25/09/2020,25/09/2020 09:00,1,30.9991,-110.7892
144,302.2,47,N,09:00:00,25/09/2020,25/09/2020 09:00,1,31.0043,-110.8008
145,334.5,73,D,20:00:00,25/09/2020,25/09/2020 20:00,1,30.9913,-110.8071
146,329.4,56,D,20:00:00,25/09/2020,25/09/2020 20:00,1,30.9899,-110.8179
147,315.3,53,D,20:00:00,29/10/2020,29/10/2020 20:00,1,31.2796,-110.9771
148,310.9,54,D,20:00:00,08/01/2021,08/01/2021 20:00,1,30.8324,-110.69
149,312.1,54,D,18:00:00,10/03/2021,10/03/2021 18:00,1,30.768,-110.8322
150,364.9,100,D,20:00:00,22/03/2021,22/03/2021 20:00,1,31.0046,-110.8798
151,328.6,77,D,20:00:00,22/03/2021,22/03/2021 20:00,1,31.003,-110.8905
152,329.1,100,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0778,-111.0996
153,315.4,91,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0852,-111.1123
154,324.1,100,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0761,-111.1106
155,339.4,100,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0744,-111.1215
156,311,81,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0727,-111.1325
157,316.9,94,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0909,-111.1366
158,308.7,75,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0927,-111.1252
159,323.1,100,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0818,-111.1346
160,335.9,100,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.0835,-111.1234
161,309.4,77,N,05:00:00,05/04/2021,05/04/2021 05:00,1,31.087,-111.1013
162,305.5,28,N,09:00:00,05/04/2021,05/04/2021 09:00,1,31.0919,-111.116
163,308.2,36,N,09:00:00,05/04/2021,05/04/2021 09:00,1,31.0957,-111.1349
164,344.5,87,D,20:00:00,05/04/2021,05/04/2021 20:00,1,31.084,-111.098
165,328.9,38,D,20:00:00,05/04/2021,05/04/2021 20:00,1,31.0966,-111.1443
166,334.7,67,D,20:00:00,05/04/2021,05/04/2021 20:00,1,31.0707,-111.1286
167,301.7,43,N,05:00:00,08/04/2021,08/04/2021 05:00,1,31.1158,-111.123
168,328.1,52,D,21:00:00,10/04/2021,10/04/2021 21:00,1,31.0185,-110.8954
169,331.5,64,D,20:00:00,16/05/2021,16/05/2021 20:00,1,31.1637,-111.0429
170,336.5,78,D,20:00:00,05/06/2021,05/06/2021 20:00,1,30.7913,-110.8405
171,334.4,74,D,20:00:00,05/06/2021,05/06/2021 20:00,1,30.7982,-110.8472
172,330.3,21,D,18:00:00,09/06/2021,09/06/2021 18:00,1,31.2761,-110.9374
173,328.6,100,N,05:00:00,20/06/2021,20/06/2021 05:00,1,31.1588,-111.038
174,318.7,97,N,05:00:00,20/06/2021,20/06/2021 05:00,1,31.1631,-111.0442
175,315.4,90,N,05:00:00,20/06/2021,20/06/2021 05:00,1,31.1647,-111.029
176,324.4,28,D,18:00:00,23/06/2021,23/06/2021 18:00,1,31.3043,-111.1175
177,330,41,D,18:00:00,09/07/2021,09/07/2021 18:00,1,31.258,-110.9615
